"Volume","VolumeMissing"
41543800,41543800
68253800,68253800
60426700,60426700
48086400,48086400
53942200,53942200
53264800,53264800
45961000,45961000
41972300,41972300
84545900,84545900
54061100,54061100
68014000,68014000
92484400,92484400
53761600,53761600
83774200,83774200
110176600,110176600
87063100,87063100
65435600,65435600
53857700,53857700
71256500,71256500
56785200,56785200
57393400,57393400
55078900,55078900
41187800,NA
67738300,67738300
62027600,62027600
64257800,64257800
54715400,54715400
57982700,57982700
59638900,59638900
58065800,58065800
82029500,82029500
67874000,67874000
45569200,45569200
62302100,62302100
68753500,68753500
51994800,51994800
53930700,53930700
65404500,65404500
76674100,76674100
81197900,81197900
59779000,59779000
49826600,NA
62666000,62666000
77530200,77530200
54343400,54343400
55343100,55343100
47224400,47224400
60604200,60604200
42500000,42500000
76005400,76005400
74824000,74824000
49858500,49858500
37499600,37499600
60011300,60011300
51069500,51069500
58919300,58919300
35186800,35186800
48227300,48227300
32816100,32816100
61673000,61673000
63600500,63600500
47178400,47178400
55753700,55753700
33784300,33784300
45129600,45129600
30414000,30414000
42739100,42739100
45479700,45479700
45597400,45597400
45807100,45807100
45578400,45578400
40837400,40837400
44086700,44086700
68554200,68554200
43558000,43558000
36667600,36667600
90418200,90418200
125881500,125881500
62008800,NA
54527900,54527900
49767600,49767600
51978200,51978200
48199200,48199200
54438300,54438300
41287900,41287900
34737200,34737200
40887400,40887400
32677200,32677200
45198700,45198700
46185700,46185700
27948300,27948300
46902400,46902400
61089200,61089200
58664800,58664800
63074500,63074500
34077200,34077200
57319000,57319000
46718500,46718500
37985700,37985700
38310800,38310800
39766100,39766100
46010000,46010000
47565800,47565800
31624200,31624200
37205900,37205900
37652200,37652200
41536900,41536900
41497200,41497200
49495400,NA
33334500,33334500
37063400,37063400
35810100,35810100
55398500,55398500
99695900,99695900
50565500,50565500
57202700,57202700
59291600,59291600
51583200,51583200
72332800,72332800
37848500,37848500
41848200,41848200
48989500,48989500
42372800,42372800
41386700,41386700
52193800,52193800
57300400,57300400
68717500,68717500
55900900,55900900
37520600,37520600
49168200,49168200
52847800,52847800
45711500,45711500
61527000,61527000
30718200,30718200
38495300,38495300
41646800,41646800
77117900,77117900
68060200,68060200
44232300,44232300
45289800,45289800
78862600,78862600
91423500,91423500
62486500,62486500
63304300,63304300
53173300,53173300
54626000,54626000
51506100,51506100
41690800,41690800
55358800,55358800
58127600,58127600
84900700,84900700
63804900,63804900
63945100,63945100
37057500,37057500
49974300,49974300
39967500,39967500
39819700,39819700
82211500,82211500
40317600,40317600
31035000,31035000
37542700,37542700
49435300,49435300
39396500,39396500
38919000,38919000
34916400,34916400
86040000,86040000
80686900,80686900
45653800,45653800
78716200,78716200
56364700,56364700
50114500,50114500
49840000,49840000
51722600,51722600
47747700,47747700
50918500,50918500
65558600,65558600
104607200,104607200
80102100,80102100
75565800,75565800
46475500,46475500
107658500,107658500
69675900,69675900
72050600,72050600
45251900,45251900
45877700,45877700
34541900,34541900
26452100,26452100
16616900,16616900
28968400,28968400
26518000,26518000
26749300,26749300
31681600,31681600
56401200,56401200
46188800,46188800
54876800,54876800
45703200,45703200
39457800,39457800
47031300,47031300
52999900,52999900
54026700,54026700
46308900,46308900
88055500,88055500
282028400,282028400
196293400,196293400
155195000,155195000
155081900,155081900
105641800,105641800
110311300,110311300
101961600,101961600
75188600,75188600
60422500,60422500
79350800,79350800
71658400,71658400
87473400,NA
101402300,101402300
66858200,66858200
95298200,95298200
77601800,77601800
81803900,81803900
83023300,83023300
65889500,65889500
60125600,60125600
67175700,67175700
70607000,NA
116649100,116649100
67212800,67212800
138566500,138566500
85297300,85297300
73154000,73154000
87156900,87156900
93248100,93248100
80722800,80722800
86237800,86237800
202812000,202812000
81728300,81728300
90707500,90707500
82850000,82850000
69718300,NA
61506700,61506700
80524700,80524700
69318400,69318400
69788800,69788800
66058200,66058200
110821300,110821300
58650100,58650100
124284600,124284600
84910700,84910700
84336400,84336400
60424100,60424100
60280300,60280300
72692200,72692200
78986300,78986300
70641700,70641700
87499200,87499200
73344300,73344300
67093000,67093000
73019400,73019400
51707700,51707700
54523300,54523300
52152400,52152400
60169600,60169600
44072500,44072500
77378500,NA
76273800,76273800
78082100,78082100
103771800,103771800
127052000,127052000
92182400,92182400
67594200,67594200
90281100,90281100
85359800,85359800
134460200,134460200
89978400,89978400
75869800,75869800
52909500,52909500
68692200,68692200
42441200,42441200
51087200,51087200
102795400,102795400
66287600,66287600
60520500,60520500
56976700,56976700
66530900,66530900
62462200,62462200
67068600,67068600
83390900,83390900
76112600,76112600
189166200,189166200
84566300,84566300
89346200,89346200
108894700,108894700
68212600,68212600
61157600,61157600
65587400,65587400
76030000,76030000
76997200,76997200
71258300,71258300
63914200,63914200
82277100,82277100
108997200,108997200
114389700,114389700
83418800,83418800
64666000,64666000
116064700,116064700
117591300,117591300
71506000,71506000
83664700,83664700
61509400,61509400
50887900,50887900
53899700,53899700
45409300,45409300
48909400,48909400
36205800,36205800
61133200,61133200
65687300,65687300
76666000,76666000
54002100,54002100
25048100,25048100
51632300,51632300
35026000,35026000
57542500,57542500
43060600,43060600
76813100,76813100
76732200,76732200
78659200,78659200
65420500,65420500
63855500,63855500
69040900,69040900
84949400,84949400
136083600,136083600
82603200,82603200
54838700,54838700
47364300,47364300
58194900,58194900
54399100,54399100
67306400,67306400
42813200,42813200
39658000,39658000
41676800,41676800
58432000,58432000
52987200,52987200
32853500,32853500
45404900,45404900
56902300,56902300
56529900,56529900
41429700,41429700
61408800,61408800
49983300,49983300
68487700,68487700
63929800,63929800
61895700,61895700
55186800,55186800
67402200,67402200
58397100,58397100
48177800,48177800
67059700,67059700
68405300,68405300
74624700,74624700
70874700,70874700
46176100,46176100
68302800,68302800
80198200,80198200
76688700,76688700
76842800,76842800
49942000,49942000
57210500,57210500
58584500,58584500
63946600,63946600
53450900,53450900
71462900,71462900
54073800,54073800
62041700,62041700
60897400,60897400
59113600,59113600
48765500,48765500
55961500,55961500
95999900,95999900
131829700,131829700
98036700,98036700
73305600,73305600
51710400,51710400
80567600,80567600
78890600,78890600
53715500,53715500
63556800,63556800
46476300,46476300
73980400,73980400
106865400,106865400
81941100,81941100
78944400,78944400
93626600,93626600
117951400,117951400
115013500,115013500
73635800,73635800
61151200,61151200
53105200,53105200
62841600,62841600
53309500,53309500
44042700,44042700
99919800,99919800
41171900,41171900
55491300,55491300
57883600,57883600
68204800,68204800
47924400,47924400
47833000,47833000
48489800,48489800
52943400,52943400
52833700,52833700
31864200,31864200
45829100,NA
74391100,74391100
104300100,104300100
65568900,65568900
56835000,56835000
65794500,65794500
87522600,87522600
41640800,41640800
23076000,23076000
52691900,52691900
53901800,53901800
55212100,55212100
47485000,NA
65117600,65117600
62659300,62659300
33748700,33748700
46963900,46963900
55815100,55815100
41723600,41723600
37802100,37802100
45888000,45888000
47987600,47987600
49471000,49471000
81300400,81300400
48970900,48970900
47440100,47440100
30772600,30772600
48988800,48988800
35337100,35337100
30535300,30535300
31892600,31892600
29665000,29665000
37099300,37099300
69001200,69001200
88902300,88902300
64550800,64550800
52839100,52839100
54381000,54381000
76346900,76346900
99263900,99263900
90707700,90707700
132197800,132197800
192479200,192479200
101259500,101259500
64459100,64459100
77064300,77064300
66796000,66796000
55953800,55953800
57199100,57199100
62234300,62234300
99681400,99681400
61693700,61693700
47840000,47840000
50473200,50473200
55291300,55291300
63384700,63384700
56861600,56861600
57645400,57645400
40270500,40270500
80404400,80404400
48013400,48013400
55316100,55316100
56559400,56559400
44728000,44728000
47511800,47511800
47945200,47945200
69355500,69355500
52430400,52430400
75768100,75768100
72228200,72228200
99034300,99034300
102774400,102774400
108287900,108287900
95602100,95602100
88237400,88237400
66882600,66882600
68343100,68343100
46507200,46507200
51056700,51056700
68184600,68184600
66226600,66226600
70074300,70074300
52048300,52048300
56509100,56509100
59139800,59139800
62861900,62861900
61537800,61537800
50898400,50898400
37566600,37566600
39226400,39226400
50285100,50285100
50042600,50042600
71000900,71000900
60162400,60162400
54240600,54240600
53274700,53274700
49475500,49475500
36683100,36683100
117593100,117593100
94796500,94796500
90710100,90710100
63681100,63681100
44046400,44046400
56647300,56647300
104587400,104587400
112621700,112621700
97553200,97553200
120196700,120196700
55767600,55767600
85220200,85220200
68950800,68950800
62587700,62587700
48819400,48819400
60430900,60430900
60719800,60719800
68653800,68653800
71127400,71127400
53037600,53037600
36978500,36978500
49529000,49529000
72643900,72643900
65528600,65528600
46752400,46752400
50199300,50199300
57409000,NA
60776000,60776000
58022700,58022700
68319300,68319300
51141900,51141900
66447600,66447600
63578800,63578800
86970900,86970900
38037600,38037600
48537900,48537900
58288200,58288200
49304200,49304200
48706100,48706100
48184200,48184200
55921800,55921800
69039300,69039300
65427200,65427200
60978800,60978800
42220000,42220000
59703700,59703700
75402700,75402700
85675800,85675800
159229100,159229100
56919200,56919200
67154400,67154400
62999600,62999600
56127800,56127800
70452900,70452900
50088600,50088600
49305100,49305100
50784400,50784400
47660000,47660000
50633200,50633200
48790600,48790600
29204400,29204400
36687300,36687300
51408200,51408200
76331300,76331300
64931900,64931900
56054600,56054600
134702600,134702600
64189600,64189600
50045600,50045600
122061900,122061900
134435700,134435700
62612300,62612300
95624900,95624900
56431300,56431300
68543100,68543100
50743000,50743000
86328700,86328700
79410500,79410500
69472300,69472300
61619000,61619000
92766600,NA
74873100,74873100
77219000,77219000
64096700,64096700
59835600,59835600
75754600,75754600
71677400,71677400
68821100,68821100
50460400,50460400
55469500,55469500
63242900,63242900
118374800,118374800
94355000,94355000
57345400,57345400
58065500,58065500
51215500,51215500
38610600,38610600
51695900,51695900
45799500,NA
56189600,56189600
82168400,82168400
68903300,68903300
56843900,56843900
77887400,77887400
59594700,59594700
49595300,49595300
65685000,65685000
107382200,107382200
61962300,61962300
60821100,60821100
65045000,65045000
66854900,66854900
46370300,46370300
72076600,72076600
69117900,69117900
51971400,51971400
70411400,70411400
50334900,50334900
50665900,50665900
68642200,68642200
47541400,47541400
44063300,44063300
54672800,54672800
45948000,45948000
76290500,76290500
44415700,44415700
72211600,72211600
34606900,34606900
43878600,43878600
38317200,38317200
91274900,91274900
48670300,48670300
74615900,74615900
107955700,107955700
187866100,187866100
66200000,66200000
80777400,80777400
62800500,62800500
67310100,67310100
89794300,89794300
57691300,57691300
61642300,61642300
53264600,53264600
41449000,41449000
64819100,64819100
86590500,86590500
58633800,58633800
55392500,55392500
69334400,69334400
71488100,71488100
91404900,91404900
71692500,71692500
72660600,72660600
62116600,62116600
63262500,63262500
67012000,67012000
80440400,80440400
52318600,52318600
74694200,74694200
69533000,69533000
36581600,36581600
53157500,53157500
62931100,62931100
60141900,60141900
43272300,43272300
65565000,65565000
56131600,56131600
44505400,44505400
68523700,68523700
60508000,60508000
47506200,47506200
45473800,45473800
67572400,67572400
56574000,56574000
53456100,53456100
68738500,68738500
64820000,64820000
44708400,44708400
33581900,33581900
40096600,40096600
58620800,58620800
22486400,22486400
21346200,21346200
29577500,29577500
35391400,35391400
23687800,23687800
84278800,84278800
85190500,85190500
174093400,174093400
112063700,112063700
80520800,80520800
73239600,73239600
81185100,81185100
75915200,75915200
85033000,85033000
129312400,129312400
309347600,309347600
172761000,172761000
143864100,143864100
146951600,146951600
173781800,173781800
90383900,90383900
104701200,104701200
68633200,68633200
78365800,78365800
96055500,96055500
100753400,100753400
66087600,66087600
65724200,65724200
85581600,85581600
73305800,73305800
76942200,76942200
54170800,54170800
53777900,53777900
57734900,57734900
49788900,49788900
71583500,71583500
78256600,78256600
65726300,65726300
72005800,72005800
78890400,78890400
134283800,134283800
82397200,82397200
81112100,81112100
